date,id,name,category,昨日收盤價,昨日漲跌幅,開盤位置,開盤價,收盤價,漲跌幅,A轉跌幅,成交量,昨日成交量,三大買賣超,融券5N,昨日融券,融券差額(張),融券增加,融資5N,昨日融資,融資差額(張),投信買賣超(張),投信買賣超%,投信持股比例,外資買賣超(張),外資買賣超%,外資持股比例,自營商買賣超(張),自營商買賣超%,自營商持股比例,主力買賣超(張),主力今日%,投信5買%,投信10買%,投信20買%,投信5買N天,投信10買N天,投信20買N天,外資5買%,外資10買%,外資20買%,外資5買N天,外資10買N天,外資20買N天,主力5買%,主力10買%,主力20買%,月增率%,年增率%,累計年增率%,ma5距離,ma10距離,ma20距離,ma60距離,買超主力,買超趴數,買超主力2,買超趴數2,買超主力3,買超趴數3
2024-03-25,1609,大亞,電器電纜,42.45,9.97,3.65,44.0,45.4,6.95,-0.66,216331.76,116252.06,-13322.0,2.0,535.0,-821.0,-2.53,2.0,9839.0,-3840.0,-8.0,-0.0,0.21,-14965.0,-2.03,11.94,1651.0,0.22,1.58,-25231.0,-3.42,0.0,-0.0,-0.0,1.0,1.0,2.0,1.7,3.28,0.9,2.0,5.0,7.0,2.88,4.44,2.43,-16.21,-4.00,14.11,5.02,6.38,7.52,9.59,國票證券,0.56%,國泰-忠孝,0.39%,國泰-敦南,0.38%
2024-03-25,1612,宏泰,電器電纜,29.4,5.0,2.55,30.15,30.8,4.76,-2.07,22062.44,16355.63,-1829.0,2.0,8.0,46.0,4.75,3.0,224.0,1069.0,0.0,0.0,0.08,-1837.0,-0.58,16.81,8.0,0.0,0.49,-1852.0,-0.59,0.0,0.0,0.0,0.0,0.0,1.0,0.12,1.19,1.07,2.0,5.0,10.0,-0.24,0.68,0.6,1.02,-1.44,-4.09,1.97,2.48,3.26,3.28,新加坡商瑞銀,1.77%,富邦-新板,1.28%,元富-城中,0.87%
2024-03-25,1616,億泰,電器電纜,18.85,9.91,5.57,19.9,20.7,9.81,0.0,8207.48,13189.1,-259.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,-262.0,-0.13,6.78,3.0,0.0,0.15,259.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,1.93,3.78,3.88,3.0,7.0,11.0,1.82,3.02,2.84,9.16,24.97,23.62,3.06,3.89,5.04,6.19,港商野村,6.8%,元大-竹科,3.58%,元大證券,2.33%
2024-03-25,2359,所羅門,其他電子業,59.6,9.96,9.9,65.5,65.5,9.9,0.0,17610.65,3851.29,-903.0,5.0,412.0,296.0,-0.28,3.0,-94.0,1080.0,0.0,0.0,0.0,141.0,0.08,4.52,-1044.0,-0.61,0.44,-2792.0,-1.63,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96,2.71,3.0,5.0,9.0,3.62,3.28,5.03,39.36,10.02,-6.79,10.79,17.76,21.91,24.86,元富-台中,4.05%,兆豐-忠孝,3.4%,摩根大通,1.63%
2024-03-25,3059,華晶科,光電業,36.15,2.84,9.82,39.7,38.7,7.05,-2.64,45204.09,10803.64,-938.0,4.0,15.0,69.0,3.6,4.0,830.0,2125.0,0.0,0.0,0.27,-1394.0,-0.5,10.55,456.0,0.16,1.09,-468.0,-0.17,-0.01,-0.01,-0.01,0.0,0.0,0.0,-1.53,-1.81,-2.26,1.0,3.0,5.0,-0.51,-0.87,-1.65,-27.75,-36.78,-27.68,2.64,3.95,4.04,2.88,統一,1.11%,統一-仁愛,0.75%,群益金鼎-東大,0.69%
2024-03-25,3545,敦泰,半導體業,92.7,2.43,2.16,94.7,95.2,2.7,-1.86,9771.9,7083.8,-2636.0,0.0,-13.0,-19.0,0.46,3.0,586.0,177.0,0.0,0.0,0.0,-2745.0,-1.26,22.96,109.0,0.05,6.3,-2498.0,-1.15,-0.0,-0.0,0.0,0.0,0.0,0.0,-1.91,-1.93,-5.05,1.0,5.0,7.0,-1.73,-1.86,-4.41,-23.94,-1.40,32.73,3.24,3.32,0.79,-6.09,永豐金證券,0.8%,國票-南京,0.71%,國泰-敦南,0.62%
2024-03-25,4127,天良,生技醫療業,24.65,9.8,8.72,26.8,27.1,9.94,0.0,3520.91,6275.3,-50.0,5.0,285.0,278.0,-0.02,4.0,1138.0,-90.0,0.0,0.0,0.0,-50.0,-0.11,1.06,0.0,0.0,0.27,-98.0,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.19,0.18,2.0,3.0,9.0,0.1,1.02,1.69,-43.18,-8.27,4.18,4.33,7.77,9.98,11.84,兆豐-寶成,16.84%,富邦-南京,4.17%,元大-四維,2.98%
2024-03-25,6189,豐藝,電子通路業,86.5,9.91,2.08,88.3,90.4,4.51,-3.52,22176.94,23255.75,-363.0,0.0,-25.0,-11.0,-0.56,3.0,1994.0,218.0,0.0,0.0,0.0,-296.0,-0.14,8.8,-67.0,-0.03,0.0,518.0,0.24,-0.0,-0.09,-0.26,0.0,0.0,0.0,2.02,2.31,1.01,2.0,4.0,7.0,4.17,4.5,3.12,-40.23,1.02,50.42,8.0,12.14,12.53,23.58,兆豐-新竹,2.59%,凱基-信義,2.47%,富邦-新竹,1.44%
2024-03-25,6227,茂綸,電子通路業,58.4,9.98,5.31,61.5,63.8,9.25,-0.31,8143.22,2551.5,-421.0,2.0,-16.0,-30.0,0.88,2.0,11.0,652.0,0.0,0.0,0.0,-474.0,-0.62,0.89,53.0,0.07,0.3,-648.0,-0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.95,-0.47,0.25,2.0,7.0,15.0,-1.3,-2.24,-3.54,-33.67,-40.65,-21.13,7.52,8.77,6.08,16.91,元大-南京,1.94%,富邦-建國,1.18%,台新證券,0.96%
2024-03-25,6517,保勝光學,光電業,81.0,9.91,4.94,85.0,89.1,10.0,0.0,4017.42,1463.59,-78.0,2.0,8.0,12.0,0.5,3.0,133.0,191.0,0.0,0.0,0.0,-78.0,-0.26,1.64,0.0,0.0,0.01,76.0,0.25,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.3,0.31,0.27,2.0,5.0,10.0,0.88,0.71,-0.17,-47.55,-27.81,-15.74,10.78,12.67,10.92,7.58,凱基-信義,2.46%,富邦-嘉義,1.79%,元富-永和,1.57%
2024-03-25,6596,寬宏藝術,文化創意業,78.8,3.41,2.79,81.0,80.5,2.16,-1.35,1310.71,1125.96,-50.0,0.0,-10.0,0.0,-1.0,2.0,20.0,43.0,0.0,0.0,0.0,-50.0,-0.15,6.0,0.0,0.0,0.08,69.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,2.7,3.71,4.09,4.0,7.0,15.0,0.81,0.36,2.63,"1,009.12",309.66,185.12,3.6,7.0,16.15,24.26,港商法國興業,7.93%,兆豐-天母,7.25%,元大-屏東民生,4.42%
2024-03-25,7402,邑錡,光電業,104.5,9.54,4.78,109.5,109.5,4.78,-1.79,6485.06,2779.69,-366.0,4.0,24.0,27.0,0.12,4.0,418.0,170.0,0.0,0.0,0.0,-367.0,-1.05,5.51,1.0,0.0,0.13,-502.0,-1.44,0.0,0.0,0.0,0.0,0.0,0.0,-1.84,-3.83,-2.64,2.0,3.0,10.0,-1.85,-5.88,-4.64,-6.50,10.48,54.67,9.74,12.56,6.6,22.69,群益金鼎-大安,2.36%,元大-忠孝,1.4%,永豐金-萬盛,0.86%
2024-03-25,8033,雷虎,其他,56.1,10.0,6.42,59.7,60.1,7.13,-1.48,10062.65,6172.03,-246.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,-249.0,-0.17,1.56,3.0,0.0,0.02,-184.0,-0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.13,0.17,2.0,4.0,8.0,0.75,0.54,0.13,-24.11,5.30,22.41,6.06,7.51,7.42,6.09,中國信託-高雄,4.58%,華南永昌-岡山,1.97%,新光,1.46%
