id,name,price,out_bband,red_k,3day,5day
1776,展宇,23.25,4.0,4.0,29.8,31.26
2630,亞航,32.55,3.0,3.0,29.79999999999999,28.2
6590,普鴻,107.0,3.0,3.0,23.580000000000005,16.460000000000008
6148,驊宏資,37.3,4.0,4.0,21.550000000000004,25.14
6625,必應,88.5,2.0,2.0,20.319999999999997,15.729999999999997
6167,久正,20.15,2.0,2.0,19.99,17.08
4763,材料-KY,517.0,2.0,2.0,18.2,15.589999999999996
2424,隴華,26.1,2.0,5.0,18.01999999999999,19.200000000000024
6112,聚碩,53.0,3.0,4.0,17.300000000000004,16.599999999999998
6752,叡揚,186.0,2.0,2.0,16.919999999999995,11.189999999999998
6111,大宇資,76.2,3.0,4.0,16.789999999999996,14.399999999999988
4161,聿新科,33.4,2.0,3.0,16.150000000000006,13.929999999999987
3479,安勤,112.5,3.0,3.0,16.130000000000003,12.819999999999997
4746,台耀,91.5,2.0,3.0,16.099999999999998,13.110000000000008
2530,華建,23.25,5.0,5.0,15.73,18.549999999999997
3017,奇鋐,166.0,3.0,4.0,13.150000000000013,14.589999999999996
4160,創源,38.6,2.0,2.0,13.05,10.379999999999995
6535,順藥,46.5,2.0,2.0,12.85,10.580000000000004
3058,立德,24.85,2.0,3.0,12.710000000000008,6.2499999999999964
3141,晶宏,109.0,2.0,2.0,12.64,7.4600000000000115
5438,東友,21.15,3.0,3.0,12.52,12.519999999999987
8069,元太,197.5,2.0,2.0,12.330000000000013,13.550000000000017
6527,明達醫,84.2,2.0,4.0,12.05,9.730000000000006
3078,僑威,56.9,2.0,3.0,11.369999999999996,7.179999999999993
3438,類比科,60.3,2.0,4.0,11.149999999999984,6.080000000000027
1784,訊聯,63.8,2.0,3.0,11.09,7.689999999999991
2417,圓剛,25.45,2.0,4.0,11.04,9.759999999999996
3308,聯德,31.8,2.0,4.0,10.890000000000004,2.5500000000000105
6806,森崴能源,120.0,2.0,3.0,10.88,8.61
3419,譁裕,21.6,2.0,2.0,10.86999999999999,12.850000000000003
4747,強生,61.0,2.0,2.0,10.639999999999995,9.219999999999994
5321,美而快,97.4,2.0,4.0,10.440000000000008,7.019999999999991
4173,久裕,21.35,2.0,2.0,10.140000000000004,9.120000000000008
